Date,RegionName,MedianListingPricePerSqft_AllHomes,MedianListingPrice_AllHomes,MedianRentalPricePerSqft_AllHomes,MedianRentalPricePerSqft_AllHomes
2014-01-31,California,230.551552993916,385000.0,1.29675810473815,1.29675810473815
2014-02-28,California,236.287313432836,394500.0,1.27674750356633,1.27674750356633
2014-03-31,California,244.79591836734699,399900.0,1.2811791383220001,1.2811791383220001
2014-04-30,California,252.141863706212,419900.0,1.2954966070326999,1.2954966070326999
2014-05-31,California,256.49670814718104,424900.0,1.3868343195266297,1.3868343195266297
2014-06-30,California,257.802064781834,428888.0,1.40070478501662,1.40070478501662
2014-07-31,California,257.49063670412005,429000.0,1.40449438202247,1.40449438202247
2014-08-31,California,255.744996293551,425000.0,1.4167916041979,1.4167916041979
2014-09-30,California,251.450189155107,419900.0,1.4166666666666698,1.4166666666666698
2014-10-31,California,249.190031152648,415000.0,1.39821029082774,1.39821029082774
2014-11-30,California,242.82815968372,399900.0,1.40797854508884,1.40797854508884
2014-12-31,California,226.804168967171,381000.0,1.42120241906795,1.42120241906795
2015-01-31,California,236.824769433465,399000.0,1.42771804062127,1.42771804062127
2015-02-28,California,244.252873563218,410000.0,1.44312393887946,1.44312393887946
2015-03-31,California,249.077490774908,424900.0,1.4556682840758701,1.4556682840758701
2015-04-30,California,252.42718446601899,429900.0,1.5,1.5
2015-05-31,California,258.517142057564,445000.0,1.5145269849308798,1.5145269849308798
2015-06-30,California,262.731871838111,449000.0,1.53374233128834,1.53374233128834
2015-07-31,California,258.865833647939,445000.0,1.5478615071283102,1.5478615071283102
2015-08-31,California,263.781861292235,449000.0,1.55545927209705,1.55545927209705
2015-09-30,California,264.601769911504,449900.0,1.5625,1.5625
2015-10-31,California,263.617187083135,449900.0,1.56332803391627,1.56332803391627
2015-11-30,California,261.789083557951,449000.0,1.5904572564612298,1.5904572564612298
2015-12-31,California,258.671328671329,444450.0,1.59021406727829,1.59021406727829
2016-01-31,California,257.90225394567,439950.0,1.59304511278195,1.59304511278195
2016-02-29,California,264.429101288933,449900.0,1.62675329357016,1.62675329357016
2016-03-31,California,271.284034584303,459999.0,1.66333998669328,1.66333998669328
2016-04-30,California,277.777777777778,475000.0,1.65876777251185,1.65876777251185
2016-05-31,California,281.470989788183,479900.0,1.6496062992126,1.6496062992126
2016-06-30,California,285.326086956522,485000.0,1.64155652149636,1.64155652149636
2016-07-31,California,286.55737704918,485000.0,1.65198237885463,1.65198237885463
2016-08-31,California,284.736902050114,479900.0,1.64835164835165,1.64835164835165
2016-09-30,California,285.097192224622,479900.0,1.65615141955836,1.65615141955836
2016-10-31,California,284.346846846847,479800.0,1.6322340052969098,1.6322340052969098
2016-11-30,California,281.576951987231,475000.0,1.67131731127969,1.67131731127969
2016-12-31,California,275.062696023281,465000.0,1.60609125546,1.60609125546
2017-01-31,California,276.070399738974,468000.0,1.70233434598189,1.70233434598189
2017-02-28,California,282.53523922970004,475000.0,1.7558622388196499,1.7558622388196499
2017-03-31,California,292.83276450511903,494500.0,1.8007518796992499,1.8007518796992499
2017-04-30,California,298.755271845665,499900.0,1.84,1.84
2017-05-31,California,298.889837745517,499999.0,1.8614718614718602,1.8614718614718602
2017-06-30,California,297.491594689242,499900.0,1.8561484918793503,1.8561484918793503
2017-07-31,California,297.90115098172004,499950.0,1.86488169364882,1.86488169364882
2017-08-31,California,298.245614035088,499900.0,1.875,1.875
2017-09-30,California,299.288617886179,499950.0,1.86335403726708,1.86335403726708
2017-10-31,California,299.827434234427,499990.0,1.85185185185185,1.85185185185185
2017-11-30,California,297.789625360231,499000.0,1.85185185185185,1.85185185185185
2017-12-31,California,291.50124069478903,495000.0,1.8532601703698701,1.8532601703698701
