Date,RegionName,MedianListingPricePerSqft_AllHomes,MedianListingPrice_AllHomes,MedianRentalPrice_AllHomes,MedianRentalPricePerSqft_AllHomes
2014-01-31,Washington,146.76664622094998,249900.0,1450.0,0.940028021985958
2014-02-28,Washington,148.75301689461,250000.0,1450.0,0.9415064102564101
2014-03-31,Washington,152.031569851105,259950.0,1425.0,0.946615627410022
2014-04-30,Washington,155.03875968992202,269000.0,1417.5,0.9543523362799929
2014-05-31,Washington,157.612402230366,274950.0,1475.0,0.9773065823001149
2014-06-30,Washington,160.72629455279102,279500.0,1495.0,0.976253298153034
2014-07-31,Washington,161.44011856071998,279900.0,1495.0,0.981818181818182
2014-08-31,Washington,161.95652173913,279950.0,1500.0,0.990063693622537
2014-09-30,Washington,161.911954552015,279900.0,1500.0,0.991915422885572
2014-10-31,Washington,161.0,275100.0,1500.0,0.9905660377358492
2014-11-30,Washington,155.88838736151,265000.0,1495.0,0.9957224334600758
2014-12-31,Washington,149.589201877934,249950.0,1495.0,0.9887566137566141
2015-01-31,Washington,152.863860105438,259900.0,1495.0,0.99905646618574
2015-02-28,Washington,158.081383085169,269900.0,1495.0,1.00554785020804
2015-03-31,Washington,161.350844277674,276650.0,1500.0,1.02844410590098
2015-04-30,Washington,164.893617021277,284900.0,1500.0,1.03732638888889
2015-05-31,Washington,168.789808917197,289900.0,1550.0,1.05719739070604
2015-06-30,Washington,170.953912111468,291995.0,1595.0,1.06516290726817
2015-07-31,Washington,170.863309352518,289950.0,1595.0,1.0734072022160699
2015-08-31,Washington,171.798493408663,295000.0,1625.0,1.0730769230769202
2015-09-30,Washington,171.703296703297,294900.0,1600.0,1.0741991991992
2015-10-31,Washington,171.376475420372,292000.0,1600.0,1.07861531103999
2015-11-30,Washington,169.459663377829,289950.0,1600.0,1.0662561410592901
2015-12-31,Washington,167.575140091696,286500.0,1595.0,1.07758620689655
2016-01-31,Washington,166.756917708143,284950.0,1600.0,1.0844086021505401
2016-02-29,Washington,169.615667449376,285000.0,1600.0,1.09449870463351
2016-03-31,Washington,173.034179735661,289950.0,1600.0,1.10572653367946
2016-04-30,Washington,176.866585067319,299000.0,1600.0,1.10441767068273
2016-05-31,Washington,180.386597938144,304900.0,1650.0,1.125
2016-06-30,Washington,183.40619168746602,314900.0,1675.0,1.13342803030303
2016-07-31,Washington,184.728168383341,315000.0,1700.0,1.15855676928169
2016-08-31,Washington,185.23071741326999,315000.0,1700.0,1.17262664963814
2016-09-30,Washington,186.32298136646,315000.0,1700.0,1.1672682959204699
2016-10-31,Washington,186.87707641196,315900.0,1700.0,1.16261398176292
2016-11-30,Washington,185.23555519905898,314900.0,1695.0,1.1465841327456598
2016-12-31,Washington,181.879059452608,309000.0,1695.0,1.14065470532319
2017-01-31,Washington,180.86107091172198,305000.0,1750.0,1.20300751879699
2017-02-28,Washington,183.70192645317903,315000.0,1795.0,1.2195121951219499
2017-03-31,Washington,190.779014308426,329000.0,1800.0,1.2387387387387399
2017-04-30,Washington,194.82116955056802,338000.0,1850.0,1.2800481540931001
2017-05-31,Washington,200.0,349000.0,1900.0,1.295
2017-06-30,Washington,203.657407407407,350000.0,1995.0,1.31004366812227
2017-07-31,Washington,205.13022888713502,350000.0,2000.0,1.31240220414144
2017-08-31,Washington,204.92421850331502,350000.0,2000.0,1.3136288998358001
2017-09-30,Washington,206.569022272027,350000.0,1995.0,1.3061224489795902
2017-10-31,Washington,205.426356589147,350000.0,1950.0,1.28850167604832
2017-11-30,Washington,203.551136363636,350000.0,1920.0,1.27272727272727
2017-12-31,Washington,201.418208983998,349950.0,1900.0,1.26818181818182
